id,label,predict_result,predict_score,predict_detail,type
1,3,3,0.30885812640190125,{'0': 0.20054961740970612, '1': 0.18347924947738647, '2': 0.30711308121681213, '3': 0.30885812640190125},predict
23,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
24,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
25,1,1,0.44212010502815247,{'0': 0.410737007856369, '1': 0.44212010502815247, '2': 0.14389130473136902, '3': 0.0032515558414161205},predict
26,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
27,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
28,1,1,0.554033637046814,{'0': 0.4217245876789093, '1': 0.554033637046814, '2': 0.024236632511019707, '3': 5.229966973274713e-06},predict
29,2,2,0.3105696141719818,{'0': 0.2889484465122223, '1': 0.27487248182296753, '2': 0.3105696141719818, '3': 0.12560945749282837},predict
30,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
31,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
32,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
33,0,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
34,0,1,0.6050142645835876,{'0': 0.39002203941345215, '1': 0.6050142645835876, '2': 0.0049637192860245705, '3': 2.2135731470029896e-08},predict
35,0,1,0.4293888807296753,{'0': 0.40455660223960876, '1': 0.4293888807296753, '2': 0.16100317239761353, '3': 0.005051332991570234},predict
36,3,0,0.3061797618865967,{'0': 0.3061797618865967, '1': 0.2940427362918854, '2': 0.30193421244621277, '3': 0.09784325212240219},predict
37,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
38,3,2,0.31223782896995544,{'0': 0.2844897508621216, '1': 0.27000802755355835, '2': 0.31223782896995544, '3': 0.13326440751552582},predict
39,1,1,0.42757585644721985,{'0': 0.4036198556423187, '1': 0.42757585644721985, '2': 0.16344228386878967, '3': 0.005362036172300577},predict
40,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
41,0,1,0.40549981594085693,{'0': 0.3911706805229187, '1': 0.40549981594085693, '2': 0.19283470511436462, '3': 0.010494728572666645},predict
42,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
43,3,2,0.31063535809516907,{'0': 0.20950140058994293, '1': 0.19235189259052277, '2': 0.31063535809516907, '3': 0.28751125931739807},predict
44,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
45,1,1,0.5091736912727356,{'0': 0.42889565229415894, '1': 0.5091736912727356, '2': 0.06178874894976616, '3': 0.00014188443310558796},predict
46,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
47,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
48,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
49,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
50,1,2,0.3176184892654419,{'0': 0.24054430425167084, '1': 0.22369426488876343, '2': 0.3176184892654419, '3': 0.21814291179180145},predict
51,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
52,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
53,0,1,0.4302324950695038,{'0': 0.4049878716468811, '1': 0.4302324950695038, '2': 0.15986791253089905, '3': 0.004911745898425579},predict
54,2,2,0.3180450201034546,{'0': 0.24894776940345764, '1': 0.23235264420509338, '2': 0.3180450201034546, '3': 0.20065456628799438},predict
55,2,1,0.5178377628326416,{'0': 0.42896947264671326, '1': 0.5178377628326416, '2': 0.053110137581825256, '3': 8.257915760623291e-05},predict
56,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
57,1,0,0.34203118085861206,{'0': 0.34203118085861206, '1': 0.336449533700943, '2': 0.2713071405887604, '3': 0.05021214857697487},predict
58,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
59,0,1,0.465489000082016,{'0': 0.42008695006370544, '1': 0.465489000082016, '2': 0.11312504857778549, '3': 0.0012990398099645972},predict
60,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
61,0,1,0.41285350918769836,{'0': 0.3955233693122864, '1': 0.41285350918769836, '2': 0.18313992023468018, '3': 0.008483144454658031},predict
62,0,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
63,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
64,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
65,2,2,0.3139922320842743,{'0': 0.2202664613723755, '1': 0.2031150609254837, '2': 0.3139922320842743, '3': 0.26262617111206055},predict
66,0,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
67,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
68,0,1,0.4326455891132355,{'0': 0.4062046706676483, '1': 0.4326455891132355, '2': 0.1566203385591507, '3': 0.004529345780611038},predict
69,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
70,2,2,0.311136394739151,{'0': 0.2874993085861206, '1': 0.27328747510910034, '2': 0.311136394739151, '3': 0.12807685136795044},predict
71,0,1,0.3788164556026459,{'0': 0.37382084131240845, '1': 0.3788164556026459, '2': 0.22642740607261658, '3': 0.020935269072651863},predict
72,0,1,0.5402346253395081,{'0': 0.42601221799850464, '1': 0.5402346253395081, '2': 0.033736467361450195, '3': 1.6611182218184695e-05},predict
73,0,0,0.3550906181335449,{'0': 0.3550906181335449, '1': 0.35312116146087646, '2': 0.2551657557487488, '3': 0.03662249445915222},predict
74,0,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
75,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
76,0,1,0.43385040760040283,{'0': 0.40680283308029175, '1': 0.43385040760040283, '2': 0.15499922633171082, '3': 0.004347545560449362},predict
77,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
78,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
79,2,1,0.40415194630622864,{'0': 0.3903515040874481, '1': 0.40415194630622864, '2': 0.194596529006958, '3': 0.010900053195655346},predict
80,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
81,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
82,2,0,0.3600974678993225,{'0': 0.3600974678993225, '1': 0.35975492000579834, '2': 0.24816425144672394, '3': 0.03198340907692909},predict
83,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
84,0,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
85,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
86,2,1,0.4951939284801483,{'0': 0.42750635743141174, '1': 0.4951939284801483, '2': 0.0769856795668602, '3': 0.0003139086766168475},predict
87,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
88,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
89,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
90,0,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
91,1,1,0.4760987162590027,{'0': 0.42336779832839966, '1': 0.4760987162590027, '2': 0.09972207993268967, '3': 0.000811399077065289},predict
92,0,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
93,1,1,0.4255695939064026,{'0': 0.402567058801651, '1': 0.4255695939064026, '2': 0.16614003479480743, '3': 0.005723399575799704},predict
94,3,2,0.3149661719799042,{'0': 0.224162295460701, '1': 0.20703671872615814, '2': 0.3149661719799042, '3': 0.2538347840309143},predict
95,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
96,0,1,0.5549086928367615,{'0': 0.4213864207267761, '1': 0.5549086928367615, '2': 0.023700058460235596, '3': 4.837864253204316e-06},predict
97,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
98,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
99,0,1,0.5898947715759277,{'0': 0.4016997814178467, '1': 0.5898947715759277, '2': 0.008405318483710289, '3': 1.347362967862864e-07},predict
100,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
101,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
102,3,3,0.36650988459587097,{'0': 0.17749923467636108, '1': 0.16092851758003235, '2': 0.295062392950058, '3': 0.36650988459587097},predict
103,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
104,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
105,2,1,0.3929402828216553,{'0': 0.3832949995994568, '1': 0.3929402828216553, '2': 0.20901626348495483, '3': 0.014748412184417248},predict
106,1,1,0.464898020029068,{'0': 0.4198850095272064, '1': 0.464898020029068, '2': 0.11388491839170456, '3': 0.0013321341248229146},predict
107,0,1,0.5792483687400818,{'0': 0.40889447927474976, '1': 0.5792483687400818, '2': 0.011856728233397007, '3': 4.400737338983163e-07},predict
108,0,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
109,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
110,2,2,0.3134513795375824,{'0': 0.21829892694950104, '1': 0.20113997161388397, '2': 0.3134513795375824, '3': 0.2671097218990326},predict
111,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
112,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
113,0,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
114,0,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
115,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
116,3,2,0.3177257180213928,{'0': 0.24183067679405212, '1': 0.22501444816589355, '2': 0.3177257180213928, '3': 0.2154291868209839},predict
117,0,1,0.39410337805747986,{'0': 0.38404661417007446, '1': 0.39410337805747986, '2': 0.2075422704219818, '3': 0.0143077801913023},predict
118,1,1,0.5840899348258972,{'0': 0.40574026107788086, '1': 0.5840899348258972, '2': 0.010169527493417263, '3': 2.5940266823454294e-07},predict
119,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
120,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
121,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
122,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
123,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
124,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
125,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
126,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
127,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
128,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
129,3,2,0.3178647458553314,{'0': 0.2565150558948517, '1': 0.2402220219373703, '2': 0.3178647458553314, '3': 0.18539826571941376},predict
130,2,1,0.3719789683818817,{'0': 0.3690166473388672, '1': 0.3719789683818817, '2': 0.23448139429092407, '3': 0.024522963911294937},predict
131,1,1,0.41028282046318054,{'0': 0.39402440190315247, '1': 0.41028282046318054, '2': 0.18654368817806244, '3': 0.009149082936346531},predict
132,1,1,0.440242201089859,{'0': 0.40987056493759155, '1': 0.440242201089859, '2': 0.14640890061855316, '3': 0.00347831379622221},predict
133,1,1,0.5926837921142578,{'0': 0.39966461062431335, '1': 0.5926837921142578, '2': 0.007651566993445158, '3': 9.758035446338909e-08},predict
134,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
135,0,1,0.4955798089504242,{'0': 0.4275645911693573, '1': 0.4955798089504242, '2': 0.07654823362827301, '3': 0.00030747294658795},predict
136,3,2,0.3179769217967987,{'0': 0.2542198896408081, '1': 0.23782767355442047, '2': 0.3179769217967987, '3': 0.18997542560100555},predict
137,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
138,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
139,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
140,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
141,1,1,0.37073078751564026,{'0': 0.36812472343444824, '1': 0.37073078751564026, '2': 0.23592223227024078, '3': 0.0252222940325737},predict
142,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
143,0,1,0.6209771633148193,{'0': 0.37629127502441406, '1': 0.6209771633148193, '2': 0.0027315684128552675, '3': 2.8726490075570155e-09},predict
144,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
145,0,0,0.33502665162086487,{'0': 0.33502665162086487, '1': 0.32782459259033203, '2': 0.2787863314151764, '3': 0.058362435549497604},predict
146,0,1,0.5249910354614258,{'0': 0.42853668332099915, '1': 0.5249910354614258, '2': 0.046421118080616, '3': 5.118035551276989e-05},predict
147,3,2,0.31802332401275635,{'0': 0.25271040201187134, '1': 0.23625661432743073, '2': 0.31802332401275635, '3': 0.19300967454910278},predict
148,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
149,1,2,0.3121581971645355,{'0': 0.21400664746761322, '1': 0.19684360921382904, '2': 0.3121581971645355, '3': 0.2769915461540222},predict
150,3,0,0.34821048378944397,{'0': 0.34821048378944397, '1': 0.34423378109931946, '2': 0.26403868198394775, '3': 0.043516989797353745},predict
151,1,1,0.412400484085083,{'0': 0.3952612280845642, '1': 0.412400484085083, '2': 0.18374063074588776, '3': 0.00859766360372305},predict
152,2,0,0.347770631313324,{'0': 0.347770631313324, '1': 0.3436737358570099, '2': 0.26457762718200684, '3': 0.04397798702120781},predict
153,0,1,0.5053136944770813,{'0': 0.42866361141204834, '1': 0.5053136944770813, '2': 0.06584435701370239, '3': 0.000178316913661547},predict
154,1,1,0.5543838143348694,{'0': 0.42159050703048706, '1': 0.5543838143348694, '2': 0.024020664393901825, '3': 5.0695052777882665e-06},predict
155,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
156,2,1,0.48879939317703247,{'0': 0.42639127373695374, '1': 0.48879939317703247, '2': 0.0843709409236908, '3': 0.0004384016210678965},predict
157,0,0,0.3325483798980713,{'0': 0.3325483798980713, '1': 0.3248184323310852, '2': 0.2812472879886627, '3': 0.06138595566153526},predict
158,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
159,1,2,0.31129148602485657,{'0': 0.2870916724205017, '1': 0.2728424370288849, '2': 0.31129148602485657, '3': 0.12877435982227325},predict
160,0,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
161,0,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
162,0,1,0.4528200328350067,{'0': 0.41535866260528564, '1': 0.4528200328350067, '2': 0.12964457273483276, '3': 0.0021766754798591137},predict
163,1,0,0.3318956792354584,{'0': 0.3318956792354584, '1': 0.3240305185317993, '2': 0.28187963366508484, '3': 0.06219418719410896},predict
164,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
165,0,1,0.5031380653381348,{'0': 0.4284803569316864, '1': 0.5031380653381348, '2': 0.0681794062256813, '3': 0.00020218630379531533},predict
166,0,1,0.534544825553894,{'0': 0.42721882462501526, '1': 0.534544825553894, '2': 0.03821055591106415, '3': 2.573319579823874e-05},predict
167,1,1,0.4203107953071594,{'0': 0.3997310996055603, '1': 0.4203107953071594, '2': 0.1731957644224167, '3': 0.006762353703379631},predict
168,1,1,0.4662019610404968,{'0': 0.42032691836357117, '1': 0.4662019610404968, '2': 0.1122109666466713, '3': 0.001260066987015307},predict
169,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
170,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
171,0,1,0.45672833919525146,{'0': 0.41690579056739807, '1': 0.45672833919525146, '2': 0.12450027465820312, '3': 0.0018655387684702873},predict
172,2,1,0.4562896192073822,{'0': 0.41673657298088074, '1': 0.4562896192073822, '2': 0.1250753551721573, '3': 0.0018985060742124915},predict
173,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
174,2,1,0.46411603689193726,{'0': 0.4196155369281769, '1': 0.46411603689193726, '2': 0.11489146202802658, '3': 0.0013769668294116855},predict
175,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
176,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
177,0,1,0.48495393991470337,{'0': 0.42558610439300537, '1': 0.48495393991470337, '2': 0.08892840892076492, '3': 0.0005316506139934063},predict
178,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
179,2,0,0.33918067812919617,{'0': 0.33918067812919617, '1': 0.33291563391685486, '2': 0.2744458019733429, '3': 0.0534578412771225},predict
180,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
181,1,1,0.5597675442695618,{'0': 0.4193664789199829, '1': 0.5597675442695618, '2': 0.020862864330410957, '3': 3.1056770239956677e-06},predict
182,0,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
183,2,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
184,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
185,1,1,0.4422718286514282,{'0': 0.410806268453598, '1': 0.4422718286514282, '2': 0.14368806779384613, '3': 0.0032337706070393324},predict
186,2,2,0.3180493116378784,{'0': 0.2493777871131897, '1': 0.23279795050621033, '2': 0.3180493116378784, '3': 0.19977495074272156},predict
187,2,1,0.40253105759620667,{'0': 0.38935813307762146, '1': 0.40253105759620667, '2': 0.19670777022838593, '3': 0.011403071694076061},predict
188,0,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
189,0,1,0.4989631772041321,{'0': 0.4280273914337158, '1': 0.4989631772041321, '2': 0.07275379449129105, '3': 0.0002556837280280888},predict
190,0,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
191,0,1,0.3639635443687439,{'0': 0.3632142245769501, '1': 0.3639635443687439, '2': 0.2435634732246399, '3': 0.029258739203214645},predict
192,3,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
193,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
194,2,1,0.44980278611183167,{'0': 0.41411107778549194, '1': 0.44980278611183167, '2': 0.13364119827747345, '3': 0.002444956684485078},predict
195,1,3,0.3774893581867218,{'0': 0.17327585816383362, '1': 0.15683987736701965, '2': 0.2923949360847473, '3': 0.3774893581867218},predict
